Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,stat_inf_class,eigencentrality
ensteinmandarin1331apa,ensteinmandarin1331apa,1,0,1,0,0,0,0,194,179,0.005339
jjoaji,jjoaji,1,1,2,2,0.6,0.666667,0,195,180,0.006886
RenhartSyailendra,RenhartSyailendra,3,4,7,1,1,1,0.000001,195,180,0.014269
KlapKlip_Gz,KlapKlip_Gz,0,2,2,2,0.625,0.7,0,195,180,0
jjoajidia,jjoajidia,1,0,1,0,0,0,0,195,180,0.002837
jjoajilu,jjoajilu,1,0,1,0,0,0,0,195,180,0.006886
jjoajiLU,jjoajiLU,1,0,1,0,0,0,0,195,180,0.006886
sbherman6502,sbherman6502,1,1,2,0,0,0,0,196,181,0.004088
Nawaal1415,Nawaal1415,0,1,1,1,1,1,0,197,182,0
ididhom6840,ididhom6840,1,0,1,0,0,0,0,197,182,0.002837
dondi2711,dondi2711,1,5,6,2,0.608696,0.678571,0.000001,226,276,0.004088
JADENSUKAAYAM,JADENSUKAAYAM,2,0,2,0,0,0,0,226,276,0.008176
Loren38382,Loren38382,1,1,2,1,1,1,0,226,276,0.004088
mfajar8869,mfajar8869,3,2,5,6,0.276786,0.343011,0.000003,80,276,0.014269
stumbleguys9235,stumbleguys9235,0,1,1,7,0.222222,0.267932,0,80,276,0
AndriSyukri,AndriSyukri,0,1,1,1,1,1,0,198,183,0
updatedemo,updatedemo,1,0,1,0,0,0,0,198,183,0.002837
sisilia-f2e,sisilia-f2e,0,2,2,1,1,1,0,271,276,0
TetesEmbun-o1y,TetesEmbun-o1y,1,0,1,0,0,0,0,271,276,0.002837
SUNG_BORA,SUNG_BORA,0,2,2,1,1,1,0,199,184,0
Gunadi-gn2gl,Gunadi-gn2gl,1,0,1,0,0,0,0,199,184,0.002837
typo6521,typo6521,1,0,1,0,0,0,0,199,184,0.002837
Turaichan-bq9di,Turaichan-bq9di,1,1,2,0,0,0,0,200,185,0.004088
Yorrrrrruuuzy,Yorrrrrruuuzy,1,1,2,0,0,0,0,201,186,0.004088
yeko_naga,yeko_naga,1,1,2,0,0,0,0,202,187,0.004088
quinnanoria,quinnanoria,0,1,1,1,1,1,0,203,188,0
sihwidhi,sihwidhi,1,0,1,0,0,0,0,203,188,0.002837
randesraditya688,randesraditya688,0,1,1,1,1,1,0,204,189,0
GinaTolip,GinaTolip,2,0,2,0,0,0,0,204,189,0.005674
SenoSuprapto-jg9wl,SenoSuprapto-jg9wl,0,1,1,1,1,1,0,204,189,0
orang.toksik,orang.toksik,0,1,1,1,1,1,0,205,190,0
Gevisual,Gevisual,1,0,1,0,0,0,0,205,190,0.002837
Raja8ball,Raja8ball,0,11,11,3,0.666667,0.766667,0,304,276,0
ruch-tce,ruch-tce,1,0,1,0,0,0,0,304,276,0.002837
hardcostum,hardcostum,0,1,1,1,1,1,0,233,276,0
kfrkudinx,kfrkudinx,5,0,5,0,0,0,0,233,276,0.015224
