Source,Target,Type,Id,Label,Weight
marcelfauzah,XFT-o1cok,Directed,232,,1
Abdulmassoudhassani,marcelfauzah,Directed,233,,1
SujendrooOktaa,kanaya-e5t,Directed,234,,1
RDN0606,brilliandchannel3930,Directed,235,,1
smilefromtheheartoriginal,gracebarn430,Directed,236,,1
Abdulmassoudhassani,gracebarn430,Directed,237,,1
smilefromtheheartoriginal,HendieHendrianto,Directed,238,,1
smilefromtheheartoriginal,abduljalil-qy9fq,Directed,239,,1
smilefromtheheartoriginal,faridwidyafrisma5798,Directed,240,,1
smilefromtheheartoriginal,Basyariyyah,Directed,241,,1
Abdulmassoudhassani,Basyariyyah,Directed,242,,1
Abdulmassoudhassani,narrastories,Directed,243,,1
thewind3240,pemikirbesar,Directed,244,,1
Scarlettfangs,SyifaMarfuah,Directed,245,,1
nadhifmusyafa1275,Kepalapundaklututkaki,Directed,246,,1
Abdulmassoudhassani,Kepalapundaklututkaki,Directed,247,,1
Abdulmassoudhassani,nadhifmusyafa1275komen,Directed,248,,1
subektisetya,arolsy,Directed,249,,1
Scarlettfangs,mizrachayit,Directed,250,,1
RDN0606,mizrachayit,Directed,251,,1
PondikKurnia,andhisofyan9499,Directed,252,,1
andhisofyan9499,andhisofyan9499,Directed,253,,1
andhisofyan9499,PondikKurniajujur,Directed,254,,1
Kurtet_jametreog,andhisofyan9499,Directed,255,,1
Kosongsuakosonglima5,pedulikucing-v3.1,Directed,256,,1
dennyputra-s2q,airmoneyandchair,Directed,257,,1
bintangarmstrong224,airmoneyandchair,Directed,258,,1
arfafadilah.m,iandonovann6807,Directed,259,,1
abamduda6801,jarwo7704,Directed,260,,1
purpurblock7770,Al-yi7jl,Directed,261,,1
BasriLana,MataMataRakyat734,Directed,262,,1
abdulsomad-ii5vg,MataMataRakyat734,Directed,263,,1
MataMataRakyat734,MataMataRakyat734,Directed,264,,1
MataMataRakyat734,BasriLanaya,Directed,265,,1
p34c3b3up0n,p34c3b3up0n,Directed,266,,1
topanhaikylabelaha8012,voidless_xx,Directed,267,,1
nagaijo7262,voidless_xx,Directed,268,,1
Realme-xe8ms,pft2000,Directed,269,,1
Layq_wxe,OmZull-md4iq,Directed,270,,1
menotfunnyclips8982,paradisealamin8497,Directed,271,,1
hi.feneta,FerryIrwandi,Directed,272,,1
ichsann0248,kemedjuara9773,Directed,273,,1
agussururi1195,agussururi1195,Directed,274,,1
aas529,D4NEE-d8r,Directed,275,,1
D4NEE-d8r,D4NEE-d8r,Directed,276,,1
D4NEE-d8r,aas529g,Directed,277,,1
fahrifz1882,danny20433,Directed,278,,1
adityakbar,beekribo,Directed,279,,1
adityakbar,ucokbaba-z9n,Directed,280,,1
ilhamrj2599,ucokbaba-z9n,Directed,281,,1
ucokbaba-z9n,ucokbaba-z9n,Directed,282,,1
ucokbaba-z9n,ilhamrj2599,Directed,283,,1
